GB2013201865	The impacts in general include : increased yield of crops , increased production and income of the beneficiary households , improved health , increased asset building and better living conditions enhanced market integration and higher demand for farm activities increased participation of women in economic activities and decision making , empowerment of women in terms of income utilisation , information and knowledge exchange declined diversity of landraces of crops , declining traditional soil fertility management practices due to reliance on fertilisers and pesticides increased inequality in wealth of users and non-users.	enhanced	increased yield of crops	market integration	1	1				
BG1999000471	The maximum acceptable concentration of Ni at pH 7 and pH 6 are 70 mg Ni / kg soil and 60 mg Ni / kg soil respectively.	are	pH 6	70 mg Ni / kg soil	respectively	1	1			
CH1997000318	Nitrogen availability in the year of application , however , was low ( - 19 to +8 % of total N ).	had however of	Nitrogen availability in the year of application	8 %	1	1				
RU2009000486	The key tool to provide environmental safety of competitive agricultural production is application of such intensive practices , which are best customized to climatic and economic conditions of the farm , and which make use of technological procedures and automated devices with minimal environmental impact.	are	such intensive practices	best customized to climatic conditions of the farm	1	1				
FR2016218278	The abundance of N2O - reducers and producers was quantified by real - time PCR , and the diversity of both nosZ clades was determined by 454 pyrosequencing.	was determined	the diversity of both nosZ clades	by 454 pyrosequencing	1	1				
GH2008000006	A combination of poultry manure ( half rate ) and mineral fertilizer ( half rate ) gave significantly greater grain yield than all the treatments except mineral fertilizer ( full rate ) at two out of the three locations.	gave	A combination of poultry manure ( half rate	significantly greater grain yield than all the treatments except mineral fertilizer ( full rate ) at two out of the three locations	1	1				
JP1999005348	This paper is a proposal of a tangible institutional approach to the Integrated Land Management program in each level of municipality , micro-watershed , and individual farmer.	is	This paper	a proposal of a tangible institutional approach to the Integrated Land Management program in each level of municipality , micro-watershed	1	1				
GB9615072	As Asian farmers approach this 80 % limit , pushing out the technical yield ceiling will be crucial for maintaining growth in cereal yields into the 21st Century.	approach	Asian farmers	this 80 % limit	1	1				
CN1997033353	The transpiration coefficient of early rice was 236 and 223 for late rice.	had The transpiration coefficient of	early rice	223	1	1				
PH9510721	At 41/33 deg C , transpiration rate , leaf conductance , and intercellular CO2 were greater for N22 than for the other genotypes.	were	intercellular CO2	greater for N22 than for the other genotypes	At leaf conductance	1	1			
RO1999000024	Four treatments with different NP rates without potassium application are compared with non-treated variant.	are compared	Four treatments with different NP rates without potassium application	with non-treated variant	1	1				
CZ2011000341	Results showed that Dongnong1031 ( low P - efficient genotype ) undergoes major changes in terms of dry mass , root length , root number and root surface , whereas the response of Hai 616 ( high P - efficient genotype ) was less pronounced after five weeks of growth.	showed	Results	that Dongnong1031 ( low P - efficient genotype ) undergoes major changes in terms of root surface	1	1				
AJ2018000235	Among the total of 30 cases of trypanosome infections detected 24 ( 80 % ) of the infections were due to T.vivax and the rest 6 ( 20 % ) were due to T. congolense.	were	the rest 6	due to T. congolense	1	1				
FR2019185874	The overall aim of the forum was to build a momentum around the different dimensions of Agroecology that should be addressed , and consolidate a Regional Agroecology stakeholders ' coalition by wrapping up the achievements of ACTAE project ( Towards an Agroecological Transition in South - East Asia , AFD ) and discussing the future of regional initiative in Agroecology.	was	The overall aim of the forum	to build a momentum around the different dimensions of Agroecology	1	1				
MY2014001211	The agricultural rainfall index ( ARI ) , has been used by MARDI in preparing agroclimatic and agroecological zone maps of Peninsular Malaysia.	has been used	The agricultural rainfall index	by MARDI	in preparing agroecological zone maps of Peninsular Malaysia	1	1			
GB1997027800	The evidence of detrimental effects of ozone on vegetation in Europe , and the need to develop international control policies to reduce ozone exposures which are based on the effects of the pollutant , has led to attempts to define so - called critical levels of ozone above which adverse effects on trees , crops and natural vegetation may occur.	are based	ozone exposures	on the effects of the pollutant	1	1				
LV2016015216	In Dijon , a working group composed of 40 agronomists , weed scientists , plant and microbial ecologists , pathologists , ecophysiologists , geneticists and field experimenters are currently working to select and link their research topics in the design of the site.	are working	a working group composed of ecophysiologists	to select	In Dijon	currently	1	1		
BG2000000146	The article reflects the results of testing the influence of fertilizer nitrogen source on dry matter accumulation and assimilation of macro - and microelements by sunflower in field and pot experiments , the cation - anion balance , tissue pH and nitrate reductase activity of the organs , supplied with NO3 - and NH4 + in different ratios and concentrations as well as different development stages.	reflects	The article	the results of testing the influence of fertilizer nitrogen source on assimilation of nitrate reductase activity of the organs , supplied with NO3 and NH4 + in different ratios as well as different development stages	1	1				
SK2010000296	The estimated VMR also pointed toward different levels of root clustering.	pointed	The estimated VMR	toward different levels of root clustering	1	1				
CZ2012000353	Drought stress significantly decreased AM colonization and total dry weight.	decreased	Drought stress	AM colonization and total dry weight	1	1				
RO1999000119	"""""""""""""""It has been estimated that the quantitative relation """""""""""""""" organic carbon - non-polar hydrocarbons ( petrochemical products - PCP ) """""""""""""""" could be best described by on exponential regressive model because the most significant correlation has been obtained , as well as the least standard deviation and reliability of coefficients and equation with ( p ; 0,001 )."""""""""""""""	has	the most significant correlation	the least standard deviation of coefficients	1	1				
RU2009000486	Specific feature of intensive machine - based technologies for plant and livestock production is their environmental impact , which results in accumulation of farm wastes , animal wastes in the first place , in pollution of surface and ground water with nutrients , over-compaction of soil , erosion , and poorer biodiversity.	is	Specific feature of intensive machine - based technologies for livestock production	their environmental impact , which results in accumulation of farm wastes , animal wastes in the first place , in pollution of ground water with nutrients , over-compaction of poorer biodiversity	1	1				
IR2016700071	Germination percentages of Artichoke and Purple coneflower were 72 and 5 % in -10 bar osmotic stress , respectively ; while germination percentages of Artichoke and Purple coneflower were 75 and 8 % in -5 bar salinity stress , respectively.	were	Germination percentages of Artichoke	72	1	1				
QY2016100198	This finding makes it difficult to avoid concluding that while the technologies might reduce soil erosion and associated off - site effects , they do so at the expense of poor farmers in the Ethiopian highlands.	might reduce	the technologies	soil erosion	1	1				
AJ2013000674	Results showed that harvesting at 24 WAP resulted in 45 - 70 % and 16 - 71 % more shoots and leaves per stand , respectively than harvesting either at 12 or 36 WAP.	showed	Results	that harvesting	at 24	1	1			
FR2019102271	These rules are based on the existence of fundamental systemic properties.	are based	These rules	on the existence of fundamental systemic properties	1	1				
US2012403354	The EA examines the cultural diversity , and socioeconomic profiles in the area , drawing strategic lines based on consultations with indigenous communities , and on institutional capacity to execute environmental planning.	examines the socioeconomic profiles drawing	The EA	strategic lines based on consultations with indigenous communities	1	1				
FR2016204802	We point out that ( i ) the evaluation of agroecological models can be improved through stakeholder follow - up , which is a key for the acceptability of model realizations in practice , ( ii ) model credibility depends not only on the outcomes of well - structured , numerically based evaluation , but also on less tangible factors that may need to be addressed using comple - mentary deliberative processes , ( iii ) comprehensive evaluation of simulation models can be achieved by integrating the expectations of stakeholders via a weighting system of preferences and perception , ( iv ) questionnaire - based surveys can help understand the challenges posed by the delibera - tive process , and ( v ) a benefit can be obtained if model evaluation is conceived in a decisional perspective andevaluation techniques are developed at the same pace with which the models themselves are created and improved.	may need	less tangible factors	to be addressed using comple - mentary deliberative processes	1	1				
BG2019206854	Also , species associated with open woodlands and wetlands such as , Colias palaeno , Boloria euphrosyne and the glade - inhabiting Leptidea sinapis have all decreased markedly.	associated	species	with wetlands such as , Colias palaeno	1	1				
CZ2001000336	Mn , Cd , Co , Zn and Ni are characterized by both high effective and potential mobility , pH - dependent effective mobility and transfer into plants , adjustable by liming and transfer coefficients 0.01.	are characterized	Co	by both high effective mobility	1	1				
AL2015102640	Five watermelon varieties , Sugar Baby , Charleston Grey , Kaolak , Crimson Sweet and Oranaise and three cucumber varieties , Poinsett , Ashley and Royal hybrid were grown on the field in two trials ( i ) late season between August and October 2008 and ( ii ) early season between April and June 2012 in Abeokuta , Ogun State to evaluate the cultivars for virus symptoms and viruses under natural tropical conditions.	were grown	Royal hybrid	on the field	in two trials	1	1			
GB2013202632	This commissioned paper reviews the substantial body of fertiliser literature and attempts to provide a balanced view to the policy options available regarding fertiliser subsidies for smallholder agriculture in SSA.Although there are some differences , the paper reports that most of the literature agrees that enabling conditions for rapid fertiliser adoption include : increased investment in transportation and marketingbetter extension services and extension messagescost - effective means to reduce the risks of using fertilizer and producing for the marketfacilitation of rural financial markets for the financing of fertiliser purchasesResearchers and practitioners increasingly appreciate that complementary interventions must accompany fertiliser promotion programmes , and that these must explicitly regard improvements in land husbandry practices , the type of fertiliser recommended , and methods of application.	include	conditions for rapid fertiliser adoption	that enabling conditions for rapid fertiliser adoption include : increased investment in marketingbetter extension services messagescost - effective means to reduce the risks of producing for the marketfacilitation of rural financial markets for the financing of practitioners increasingly appreciate that complementary interventions must accompany fertiliser promotion programmes	1	1				
QT2016102715	The purpose of the work is to build a valid and robust model that overcome this lack of data by building a individual specific system of behaviour rules conditioning these differential accesses showing the long - term catalytic effects of small changes of social rules.	overcome	a valid model	this lack of data	1	1				
IR2007003308	These indices influenced more by corn twin row patterns compare to single rows , also effects of zigzag twin row were higher than rectangular twin row , in such a manner in the highest pigweed density , zigzag twin row reduced pigweed LAI , TDM and WGR about 7.9 , 4.1 and 6.1 percent more than rectangular twin row pattern.	were	also effects of zigzag twin row	higher than rectangular twin row	1	1				
GB2013201865	The impacts in general include : increased yield of crops , increased production and income of the beneficiary households , improved health , increased asset building and better living conditions enhanced market integration and higher demand for farm activities increased participation of women in economic activities and decision making , empowerment of women in terms of income utilisation , information and knowledge exchange declined diversity of landraces of crops , declining traditional soil fertility management practices due to reliance on fertilisers and pesticides increased inequality in wealth of users and non-users.	include	The impacts in general	income enhanced market integration increased participation of decision making , knowledge exchange declined diversity of landraces of crops , declining traditional soil fertility management practices due to reliance on pesticides increased inequality in wealth of non-users	1	1				
ID2000000318	Through the research process , a package of technology was identified , containing ( 1 ) selected local groundnut variety , ( 2 ) high quality of seeds for planting , ( 3 ) land preparation by deep ploughing ( 25 cm ) , ( 4 ) fertilization at rate of 50 kg Urea + 75 kg TSP + 50 kg KCl per ha + 2000 kg manure per ha , ( 5 ) weeding and hilling up , ( 6 ) pest control , especially for thrips , red mite , empoasca , leaf feeding insects ( 7 ) rust and leaf spot control using fungicide Topsin - M at 7 and 9 weeks after planting , ( 8 ) harvest at 96 to 98 days after pod planting.	+ 50 kg hilling up	TSP	after planting	8 ) harvest at 96 to 98 days after pod planting	1	1			
CZ2001000336	Mn , Cd , Co , Zn and Ni are characterized by both high effective and potential mobility , pH - dependent effective mobility and transfer into plants , adjustable by liming and transfer coefficients 0.01.	are characterized	Mn	by both high potential mobility , pH - dependent transfer into plants , adjustable by liming	1	1				
CZ2013000307	Diaeretiella rapae is one of the most common and successful parasitoids of the cabbage aphid.	is	Diaeretiella rapae	one of the most common parasitoids of the cabbage aphid	1	1				
CZ2014000324	Climate change could promote the altitudinal spread of C4 weed species since they can benefit from warmer climate.	could promote	Climate change	the altitudinal spread of C4 weed species	since they can benefit from warmer climate	1	1			
IR2016700126	Thus , in order to investigate the effects of Azotobacter bacteria , mycorrhiza fungus and zinc sulfate on the growth and yield of fenugreek , a field experiment was conducted at the Agricultural Research Farm of Shahrekord University during the growing season of 2011 - 2012.	was conducted	a field experiment	at the Agricultural Research Farm of Shahrekord University	during the growing season of 2011 - 2012	1	1			
XF2018001191	The report identifies concrete steps that can be followed in relation to the Voluntary Guidelines for Securing Sustainable Small - scale Fisheries in the Context of Food Security and Poverty Eradication , known as the SSF Guidelines , indigenous food systems and fishers among others.	can be followed	concrete steps	in relation to the Voluntary Guidelines for Securing Sustainable Small - scale Fisheries in the Context of Food Security and Poverty Eradication	1	1				
BY2011000254	Animals are fed at 5000 forest hectares.	are fed	Animals	at 5000 forest hectares	1	1				
PH9610476	IR68 284 H with 110 spikelets per panicle had more half - filled and unfilled spikelets in the middle and bottom part of the panicle than at the top.	had	IR68 284 H with 110 spikelets per panicle	more half - filled and unfilled spikelets	in the middle and bottom part of the panicle	1	1			
PH2000100249	Eight rice varieties ( BPI - 76 , IR8 , IR30 , IR36 , IR64 , IR72 , IR65469 -161-2-2-3-2-2 , IR68284H ) were grown at the International Rice Research Institute ( IRRI ) farm during the 1998 dry season under four N rates ( 0 , 60 , 120 , and 200 kg / ha ).	were grown	Eight rice varieties	at the International Rice Research Institute	farm during the 1998 dry season under four N rates	1	1			
PH9511129	In type 3 condition , which represents the upland soil agroecology , the improved ridge - and - furrow method gave a better storage rootproductivity	gave	the improved ridge - furrow method	a better storage rootproductivity	In type 3 condition	1	1			
RU2009000130	The rice grain samples from Primorskij Territory ( South District ) contained only DON and the ones from Krasnodar Territory ( South District ) did only T - 2.	contained	The rice grain samples from Primorskij Territory	the ones from Krasnodar Territory	1	1				
CZ2001000336	Mn , Cd , Co , Zn and Ni are characterized by both high effective and potential mobility , pH - dependent effective mobility and transfer into plants , adjustable by liming and transfer coefficients 0.01.	are characterized	Cd	by both high potential mobility	1	1				
DJ2012076408	Universities and society as a whole have a responsibility in re-examining current perception of nature , of the world and of human society in the light of natural resources depletion , increasing pollution and social inequalities.	have	society as a whole	a responsibility in re-examining current perception of nature , of human society in the light of natural resources depletion	1	1				
RU2009000486	The role of the institute in this aspect is seen in scientific support and development of procedures of monitoring and environmental impact assessment of machine - based technologies and subsequent certification of the latter ; in creation of regulatory and legal framework , which would stipulate introduction of environmentally sound farming technologies.	would stipulate	legal framework	introduction of environmentally sound farming technologies	1	1				
GB1997027800	The evidence of detrimental effects of ozone on vegetation in Europe , and the need to develop international control policies to reduce ozone exposures which are based on the effects of the pollutant , has led to attempts to define so - called critical levels of ozone above which adverse effects on trees , crops and natural vegetation may occur.	has led	The evidence of detrimental effects of ozone on vegetation in Europe	to attempts	1	1				
IR2016700071	Treatments were eight levels of osmotic stress ( 0 , -2 , -4 , -6 , -8 , -10 , -12 and -14 bar ) using PEG 6000 for first and second experiments and six levels of salinity stress using NaCl ( 0 , -1 , -3 , -5 , -7 and -9 bar ) for third and fourth experiments.	using	salinity stress	NaCl	1	1				
US2012205687	Using a bioeconomic linear programming model , this study simulates the effects of population , market , and technological changes on farmers income and on their management of the natural resource in a hillside area of Central Honduras.The results show that economic growth and agricultural intensification are not necessarily adverse for fragile environments.	show	the effects of population	that economic growth are not necessarily adverse for fragile environments	1	1				
FR2016203848	"""""""""""""""Finally , we propose a research agenda that requires bringing together contributions from agricultural , ecological , management , and knowledge management sciences , and asserts that researchers have to take the position of """""""""""""""" integration and implementation sciences ."""""""""""""""""""""""""""""""	requires	a research agenda	bringing together contributions from asserts	1	1				
ID1999000242	The development of commodity production is not succeed because of no tailorring an appropriate activity for the supply of input production , marketing and yield processing.	is not succeed	The development of commodity production	because of no tailorring	an appropriate activity for the supply of input production	1	1			
RU2019000196	Average microclimate indicators for the period from 8 - 00 to 19 - 00 hours in the system of shrubs and control differ significantly : in July the wind speed decreases by 1.5 - 2.7 times ( 0.3 - 1.5 m / sec ) ; the air temperature drops by 0.1 - 1.5 deg C ; relative humidity increases by 0.3 - 1.7 %.	decreases	the wind speed	by 1.5 - 2.7 times	in July	1	1			
CH9600193	The missing information had to be estimated by extrapolation.	to be estimated	The missing information	by extrapolation	1	1				
MX19970045827	By separating out the different elements in the discussion , we attempt to show that in fact these two paradigms have complementary roles to play in working towards the development of a more sustainable model of agriculture , so urgently required if global food requirements are to be met without jeopardizing the quality of the environment.While recognizing the sound principles on which the agroecological approach is based , we question its capacity to adequately meet the social , economic and food demands facing the rural sector today.	facing	the food demands	the rural sector	today	1	1			
PH9410655	Four fractions were fractionated from the root exudates using the continuous hydrophobic exudate trapping apparatus.	using	the root exudates	the continuous hydrophobic exudate trapping apparatus	1	1				
NL9503716	Forest land declined drastically during this period to 1 % , while perennial cropland ( mainly coffee ) increased to 30 %.	increased	perennial cropland	to 30 %	1	1				
PH1998010431	This study aims to determine the trend in yield potential of IRRI varieties released in different years and compared it with those of traditional varieties , new elite lines , and tropical hybrids.	compared	This study	it	with those of traditional varieties	1	1			
LV2016015216	Currently , the current two major challenges of the experimental unit are to improve crop varieties of various crops to meet the future needs of farmers and to evaluate innovative cropping systems with low inputs , promoting integrated pest management.	to meet	the current two major challenges of the experimental unit	the future	1	1				
RO1999000077	The companion cropping of crop rotation system maize - wheat with winter predecessors peas , perco and triticale resulted in increased quantity and activity of soil microflora.	resulted	The companion cropping of crop rotation system maize - wheat with triticale	in increased activity of soil microflora	1	1				
FR2016204802	We point out that ( i ) the evaluation of agroecological models can be improved through stakeholder follow - up , which is a key for the acceptability of model realizations in practice , ( ii ) model credibility depends not only on the outcomes of well - structured , numerically based evaluation , but also on less tangible factors that may need to be addressed using comple - mentary deliberative processes , ( iii ) comprehensive evaluation of simulation models can be achieved by integrating the expectations of stakeholders via a weighting system of preferences and perception , ( iv ) questionnaire - based surveys can help understand the challenges posed by the delibera - tive process , and ( v ) a benefit can be obtained if model evaluation is conceived in a decisional perspective andevaluation techniques are developed at the same pace with which the models themselves are created and improved.	depends	ii ) model credibility	not only on the outcomes of well - structured , numerically based evaluation , ( iii ) comprehensive evaluation of simulation models can be achieved by integrating the expectations of stakeholders via a weighting system of preferences	1	1				
ET2005000069	The paper reviews traditional farming system and uses information generated from farmers ' traditional practices and quantifies the contribution from sustainability , production increase , storability and quality product perspective.	generated	information	from farmers ' traditional practices	1	1				
PK2008000595	Under the short - term drought stress , ABA application promoted the activities of antioxidant enzymes , and reduced the accumulation of MDA and H2O2 significantly.	promoted	ABA application	the activities reduced the accumulation of MDA significantly	Under the short - term drought stress	1	1			
CN2013001510	The ITS data also indicate C. davazamcii , C. korshinskii , C. intermedia , and C. microphylla are different species.	indicate	The ITS data	C. intermedia are different species	1	1				
DJ2012073508	The efforts to revive the ecological functions needs multiple scale approach , which include scientific understanding , time dependent restorative activities and incorporation of wisdom of the stakeholders.	include	multiple scale approach	incorporation of wisdom of the stakeholders	1	1				
BE1998001360	Over the 8 trials mean sugar yield per hectare was similar for both weed control strategies.	was	sugar yield per hectare	similar for both weed control strategies	1	1				
FR2014008137	We suggest that agronomists make more use of meta - analysis and comparative system studies , these two types of methods being commonly used in other disciplines but barely used in agronomy.	being barely used	methods	in agronomy	1	1				
PH9610806	Panicle yield declined by 0.95 t / ha due to transplanting shock and by 0.87 t / ha due to competition in the 20 - day old IR71 seedlings.	declined	Panicle yield	by 0.87 t / ha due to competition in the 20 - day old IR71 seedlings	1	1				
Micro-fertilization techniques remarkably increase crop yields , which can help farmers securing their consumption and investment possibilities , and at the same time intensifying their agricultural system.	remarkably increase	Micro-fertilization techniques	crop yields , which can help farmers securing their investment possibilities	1	1					
ID1998001166	The result of this research summarized that manure and NPKS fertilizers , both in East Java and NTT increased maize yield.	increased	NPKS fertilizers	maize yield	both in NTT	1	1			
RU2017000652	The papers reveal the urgency problems of field protective afforestation and melioration for erosion control , aspects of sands fixation farming , implementation of data of remote sensing and methods of digital mapping for monitoring of agro - and urbolandscapes , desertification processes and phytoamelioration of arid territories , soil protection , greening of settlements , selection , production of seeds and planting material.	reveal	The papers	the urgency problems of melioration for planting material	1	1				
CZ2004000232	The population size , population growth rate and population density recorded under the 700 ppm CO2 treatment was slightly higher than those recorded under the 550 ppm CO2 treatment.	was	The population size recorded under the 700 ppm CO2 treatment	slightly higher than those	1	1				
ID2000000911	Chickpea can not grow well on the soil dominated by element of CI , S , Na , Mg and Ca.	dominated	the soil	by element of Na	1	1				
US2016220366	For example , the government of Ethiopia frequently frames policy discussions by broadly different geographical conditions of moisture availability , recognizing moisture reliable , drought prone and pastoralist areas.	frames	the government of Ethiopia	policy discussions	recognizing moisture reliable , drought prone areas	frequently	1	1		
FR2016203848	A potential solution is to implement management practices that increase the level of provision of ecosystem services such as soil fertility and biological regulation.	is	A potential solution	to implement management practices	1	1				
MX19970045827	By separating out the different elements in the discussion , we attempt to show that in fact these two paradigms have complementary roles to play in working towards the development of a more sustainable model of agriculture , so urgently required if global food requirements are to be met without jeopardizing the quality of the environment.While recognizing the sound principles on which the agroecological approach is based , we question its capacity to adequately meet the social , economic and food demands facing the rural sector today.	are	global food requirements	to be met without jeopardizing the quality of the environment.While	1	1				
XF2017001458	The book provides the scientific basis required by students and scientists involved in the development of sustainable agroecosystems and contributes to a range of disciplines including Agriculture , Biology , Geography , Landscape Ecology , Organic Farming , Biological Control , and Global Change Ecology.	contributes	The book	to a range of disciplines including Agriculture	1	1				
FR2016226303	We show that legumes can contribute to the agroecological transition for sustainable agriculture , food and energy and for sustainable agri - food systems.	can contribute	legumes	to the agroecological transition for sustainable agriculture	1	1				
PH2001101521	Comparison of snail fauna in different fields before and seven years after the invasion of P. canaliculata showed that it had no clear negative impacts on the native species.	showed	Comparison of snail fauna in different fields before and seven years after the invasion of P. canaliculata	that it had no clear negative impacts on the native species	1	1				
PH1998010431	Varieties released from 1984 to 1985 generally had short growth duration , shoot stature , and low biomass production.	had	Varieties released from 1984 to 1985	low biomass production	1	1				
BE2002000635	Germination and growth response of maize ( Zea mays ) that was periodically watered with 200 ml of leaf leachates of three selected multipurpose tree species ( MPTs ) - Inga edulis , Anthonatha macrophylla and Dactyladenia barterii were evaluated under a simulated field condition to determine their allolepathic characteristics and suitability for alley cropping.	was watered	Zea mays	with 200 ml of leaf leachates of three selected multipurpose tree species	periodically	1	1			
CN9611611	Two years field experiment shows that in semi-arid region of loess plateau , the critical period of limited irrigation for spring wheat field is from 3 leaves stage to boot stage , but owing to high variability of rainfall in the region , the critical period and the effect of increasing yield in various year types of precipitation are different and actual critical period did not coincided with physiological one.	are	the effect of increasing yield in various year types of precipitation	actual	1	1				
PH1998010431	Despite the high biomass and larger sink size of the early bred varieties such as IR26 , yields were low due to poor grain - filling percentage and low grain weight.	were	yields	low	due to poor grain - filling percentage	1	1			
PH2001100474	Nitrogen rate ( kg / ha ) of fix - schedule N management was 150 and 225 in the DS and 0 , 60 and 120 in the WS , applied as basal and topdressed at midtillering , panicle initiation , and flowering.	had Nitrogen rate of	fix schedule N management	60	1	1				
RO1999000032	The effect of the phosphate levels on the uptake of essential nutrient elements ( N , P , K , Na , Ca , Mg , Zn , Fe and Mn ) by plants and their organs and on the degree of compensation of 3D by 3A and 3B chromosomes was investigated.	Ca was investigated	The effect of the phosphate levels on the uptake of essential nutrient elements	on the degree of compensation of 3 D by 3A chromosomes	1	1				
US2016216507	Combining productive , social and environmental themes , the originally technical questions are transformed into a watershed of initiatives that retro - feed a chain of initiatives of socio - political consequences that surpass the predictability of an extensionist action.	feed	initiatives	a chain of initiatives of socio - political consequences	1	1				
ID9600015	The result indicated that the varieties of rambutan generally grown in Sumatera were Binjai , Lebak Bulus , Sinona , Padang Bulan , and Simacan.	were	the varieties of rambutan	Binjai	1	1				
AL2015102640	Five watermelon varieties , Sugar Baby , Charleston Grey , Kaolak , Crimson Sweet and Oranaise and three cucumber varieties , Poinsett , Ashley and Royal hybrid were grown on the field in two trials ( i ) late season between August and October 2008 and ( ii ) early season between April and June 2012 in Abeokuta , Ogun State to evaluate the cultivars for virus symptoms and viruses under natural tropical conditions.	[is] Baby [of]	Oranaise	Sugar	1	1				
RS2016000047	The seed of spelt wheat cultivar Nirvana was used , having been selected at the Institute of Field and Vegetable Crops in Novi Sad.	having been selected	The seed of spelt wheat cultivar Nirvana	at the Institute of Field Crops in Novi Sad	1	1				
SK2010100099	The content of Cu decreased with the increased soil reaction.	decreased	The content of Cu	with the increased soil reaction	1	1				
SD2008000011	Yield and sucrose recovery data of different varieties grown at different locations suggests that sugar beet is a promising crop in this area and deserves concentrated efforts in research and development.	suggests	Yield	that sugar beet is a promising crop deserves concentrated efforts in research	1	1				
ID2001001046	Data masukan dan hasil pengolahan berupa peta digitasi dalam suatu sistem informasi geografis untuk memudahkan penggunaan , penyempurnaan , danperbaikan	masukan dan	Data	hasil pengolahan berupa peta digitasi dalam suatu sistem informasi geografis untuk memudahkan penggunaan , penyempurnaan , danperbaikan	1	1				
PH2007001717	All varieties ( ' Agahapon ' , ' Tres Colores ' , ' Binoras ' , Tinagiti , Sinorsoganon , Inaswang , Soraw , Buko - buko 1 and 2 ) were resistant to leaf scab.	Tres	All varieties	Colores ' , Sinorsoganon ) were resistant to leaf scab	1	1				
US2012403354	Sustainable production , and conservation will be promoted through training on agro-ecology , forestry management , and organic production , aiming at stabilizing , promoting , and marketing basic production.	will be promoted	Sustainable production	aiming at marketing basic production	1	1				
FR2014014115	Studies within Brazil provide evidence of the diversity of current relationships , whether inclusive or exclusive , and of the fluidity marking concepts of agro-ecology and organic agriculture.	marking	the fluidity	concepts of agro-ecology and organic agriculture	1	1				
PH2001101521	This conclusion was drawn from two aspects studied : ( 1 ) The food web of the aquatic community depends on the presence of N. graminea since it provides Aufwuchs and detritus , on the surfaces of its leaves , to primary consumers such as crustaceans , the larvae of Ephemeroptera and Chironomidae , and Gastropoda which in turn serve as prey for a number of predators , mainly the larvae of Odonata , certain Coleoptera and Diplonychus rusticus ( Fabricius ).	serve	the larvae of Ephemeroptera	as prey	for a number of predators	1	1			
RU2019000283	The coefficient of 137Cs accumulation by the grain when SUPRODIT - M is applied is 2.5 times lower than in the variant with azofoska.	is	The coefficient of 137Cs accumulation by the grain	2.5 times lower than in the variant with azofoska	1	1				
RO1998000023	The sensitivity of these models depends on the variation in the water content and temperature in the soil profile and they need objective data about these variables measured in the field.	depends	The sensitivity of these models	on the variation in the water temperature in the soil profile	1	1				
